service_name,category,charging_unit,estimated_units,price_per_unit,materials_cost,complexity_level,urgency,contractor_experience_years,contractor_rating,distance_km,weekend,total_price
Instalação de piso laminado,Pisos,m2,3.0,31.54,221.52,baixa,baixa,11,3.89,15.6,1,314.94
Instalação de piso laminado,Pisos,m2,2.0,44.29,754.17,baixa,alta,15,4.91,7.0,1,942.36
Instalação de piso laminado,Pisos,unidade,1.0,63.69,361.13,média,média,12,4.5,3.4,1,429.89
Instalação de tomada,Elétrica,unidade,4.0,67.1,145.74,alta,baixa,11,4.48,10.0,0,465.29
Dedetização,Dedetização,unidade,6.0,11.26,12.65,média,baixa,5,3.92,6.0,1,86.4
Conserto de torneira,Hidráulica,fixo,7.0,103.31,119.68,média,média,10,3.69,14.3,0,973.51
Dedetização,Dedetização,m2,3.0,110.02,0.0,alta,baixa,3,3.9,5.1,0,383.8
Pintura de parede,Pintura,hora,1.0,39.41,173.12,alta,média,5,5.0,6.4,1,243.18
Dedetização,Dedetização,hora,4.0,115.45,74.38,média,alta,14,4.44,15.0,1,641.86
Jardinagem básica,Jardinagem,fixo,5.0,82.12,0.0,alta,baixa,11,4.55,8.0,0,442.91
Dedetização,Dedetização,fixo,4.0,92.61,0.0,baixa,alta,17,4.56,11.3,0,419.86
Montagem de móveis,Marcenaria,unidade,2.0,142.69,191.38,média,alta,20,4.13,10.0,0,506.03
Instalação de piso laminado,Pisos,fixo,6.0,62.94,658.6,baixa,alta,3,4.98,7.2,0,1301.32
Instalação de tomada,Elétrica,m2,4.0,67.06,123.37,alta,baixa,16,4.25,8.6,1,459.62
Dedetização,Dedetização,hora,1.0,94.99,1.17,média,alta,5,3.5,2.2,1,115.11
Jardinagem básica,Jardinagem,hora,3.0,137.51,27.39,média,baixa,12,4.35,1.9,0,525.32
Instalação de piso laminado,Pisos,fixo,3.0,58.47,650.18,baixa,baixa,14,4.93,13.1,0,914.28
Limpeza pós-obra,Limpeza,hora,3.0,29.27,18.65,média,baixa,6,3.79,2.2,0,120.65
Dedetização,Dedetização,hora,1.0,310.42,0.0,baixa,média,14,3.02,4.2,0,367.04
Jardinagem básica,Jardinagem,m2,2.0,24.56,0.0,alta,média,13,4.48,10.9,0,51.45
Montagem de móveis,Marcenaria,hora,2.0,122.43,168.86,média,alta,20,4.39,5.1,0,423.51
Instalação de piso laminado,Pisos,m2,4.0,67.56,904.83,alta,média,13,4.55,16.5,0,1204.8
Conserto de torneira,Hidráulica,hora,3.0,86.46,181.39,alta,média,2,4.02,4.3,1,567.1
Conserto de telhado,Telhados,hora,1.0,61.41,3366.78,média,média,9,4.56,12.3,1,4454.5
Montagem de móveis,Marcenaria,fixo,5.0,245.05,172.62,baixa,baixa,20,4.45,10.7,0,1636.48
Instalação de tomada,Elétrica,fixo,3.0,182.84,105.85,alta,alta,15,4.21,9.2,0,688.15
Conserto de torneira,Hidráulica,m2,2.0,90.72,92.16,alta,média,19,3.71,6.3,1,289.22
Dedetização,Dedetização,m2,7.0,5.0,24.47,média,baixa,15,2.94,5.6,1,64.57
Limpeza pós-obra,Limpeza,m2,6.0,110.06,8.35,baixa,alta,2,4.92,6.0,0,721.59
Instalação de ar-condicionado,Climatização,fixo,2.0,94.24,0.0,média,média,6,4.35,5.0,0,209.53
Jardinagem básica,Jardinagem,hora,4.0,136.02,0.0,alta,baixa,3,4.61,12.2,0,576.83
Montagem de móveis,Marcenaria,hora,2.0,69.51,129.17,baixa,média,13,4.64,7.9,1,291.35
Dedetização,Dedetização,unidade,3.0,115.64,29.36,média,média,14,4.2,10.9,1,415.24
Montagem de móveis,Marcenaria,m2,4.0,76.22,0.0,alta,média,4,4.04,7.2,1,356.37
Limpeza pós-obra,Limpeza,fixo,5.0,63.2,64.05,média,baixa,4,4.72,7.0,0,394.82
Instalação de ar-condicionado,Climatização,unidade,3.0,295.64,0.0,alta,alta,3,4.67,14.6,1,1071.55
Dedetização,Dedetização,m2,3.0,46.8,51.43,alta,baixa,4,4.44,0.1,1,213.59
Instalação de ar-condicionado,Climatização,unidade,3.0,397.72,775.04,baixa,alta,1,4.07,0.1,0,2051.12
Conserto de telhado,Telhados,fixo,3.0,40.34,3559.24,média,baixa,6,4.2,22.0,0,3745.27
Instalação de piso laminado,Pisos,hora,5.0,85.23,3646.66,baixa,média,17,4.43,2.1,1,4115.28
Jardinagem básica,Jardinagem,hora,4.0,58.83,3.27,alta,baixa,17,4.49,3.7,1,244.98
Limpeza pós-obra,Limpeza,fixo,6.0,34.37,49.21,baixa,alta,16,4.89,6.1,0,305.44
Instalação de tomada,Elétrica,unidade,8.0,52.84,20.27,alta,alta,8,3.62,11.6,0,479.34
Conserto de torneira,Hidráulica,unidade,2.0,93.95,146.32,alta,média,18,3.4,18.6,0,378.64
Jardinagem básica,Jardinagem,fixo,5.0,125.98,29.07,média,média,1,5.0,9.2,1,861.92
Conserto de telhado,Telhados,hora,3.0,37.11,1122.03,média,média,11,4.45,19.8,1,1459.44
Conserto de torneira,Hidráulica,fixo,4.0,79.65,209.98,baixa,média,9,4.47,8.5,1,536.91
Pintura de parede,Pintura,hora,2.0,9.62,0.0,baixa,baixa,4,4.33,12.3,0,20.41
Dedetização,Dedetização,hora,1.0,48.55,45.9,alta,média,6,3.3,14.5,0,108.16
Instalação de tomada,Elétrica,fixo,4.0,193.95,174.01,baixa,alta,14,4.11,9.5,0,1086.5
Jardinagem básica,Jardinagem,hora,1.0,50.57,15.7,baixa,alta,16,4.63,5.0,1,81.79
Montagem de móveis,Marcenaria,hora,2.0,80.13,194.38,alta,alta,15,4.16,8.2,0,414.72
Conserto de telhado,Telhados,m2,4.0,31.98,4118.78,média,alta,13,3.75,21.2,1,4730.13
Montagem de móveis,Marcenaria,fixo,2.0,176.09,18.37,baixa,baixa,3,4.55,11.0,1,370.74
Montagem de móveis,Marcenaria,unidade,3.0,174.73,213.41,baixa,alta,9,4.39,6.7,1,864.17
Jardinagem básica,Jardinagem,unidade,2.0,5.0,35.61,alta,alta,5,4.16,15.9,0,46.15
Instalação de piso laminado,Pisos,m2,3.0,31.51,2073.56,média,baixa,5,4.62,7.3,1,2157.54
Dedetização,Dedetização,fixo,2.0,22.19,0.06,média,alta,9,3.9,21.6,1,46.35
Jardinagem básica,Jardinagem,hora,2.0,36.42,21.28,alta,média,19,4.45,9.0,1,118.75
Jardinagem básica,Jardinagem,unidade,5.0,121.83,48.02,média,média,10,4.38,0.1,0,736.6
Instalação de ar-condicionado,Climatização,fixo,2.0,330.9,1170.26,baixa,média,12,4.28,12.9,0,1904.37
Jardinagem básica,Jardinagem,hora,3.0,37.78,40.79,média,alta,5,5.0,9.2,0,186.45
Conserto de torneira,Hidráulica,hora,2.0,100.32,85.12,baixa,média,16,5.0,15.5,0,285.74
Dedetização,Dedetização,unidade,2.0,31.69,11.71,baixa,baixa,17,4.57,8.9,0,91.87
Conserto de telhado,Telhados,hora,3.0,58.49,2386.81,baixa,média,18,5.0,15.0,1,2877.53
Dedetização,Dedetização,m2,5.0,97.19,33.19,alta,média,20,4.4,10.3,0,530.64
Dedetização,Dedetização,fixo,1.0,8.46,13.37,média,média,5,4.07,19.7,1,28.29
Montagem de móveis,Marcenaria,m2,2.0,165.3,73.46,alta,alta,1,4.52,10.0,1,474.74
Montagem de móveis,Marcenaria,m2,2.0,83.88,136.16,alta,baixa,10,4.65,11.6,0,340.84
Montagem de móveis,Marcenaria,hora,3.0,108.11,0.0,média,média,7,4.67,12.1,1,370.97
Pintura de parede,Pintura,unidade,2.0,40.41,122.32,baixa,alta,0,4.82,8.1,1,205.85
Jardinagem básica,Jardinagem,m2,3.0,27.12,0.0,média,alta,4,4.57,13.2,1,104.55
Instalação de piso laminado,Pisos,m2,3.0,63.18,1297.6,alta,alta,18,4.89,17.0,1,1614.78
Instalação de tomada,Elétrica,fixo,2.0,119.57,126.99,alta,média,0,4.41,7.2,1,363.43
Instalação de ar-condicionado,Climatização,fixo,2.0,426.66,680.3,alta,média,19,4.75,5.3,0,1669.22
Instalação de piso laminado,Pisos,unidade,3.0,57.19,1488.28,média,média,16,4.67,9.6,0,1600.15
Dedetização,Dedetização,unidade,2.0,75.51,10.83,alta,média,6,3.49,13.9,0,159.15
Jardinagem básica,Jardinagem,hora,5.0,161.55,70.76,alta,baixa,17,5.0,11.6,1,954.08
Pintura de parede,Pintura,fixo,2.0,6.35,59.8,alta,alta,15,4.67,6.9,0,87.49
Conserto de torneira,Hidráulica,unidade,2.0,118.4,123.51,média,média,18,4.13,4.9,0,426.55
Conserto de telhado,Telhados,fixo,2.0,67.12,2175.88,média,alta,3,4.65,12.5,1,2729.77
Instalação de ar-condicionado,Climatização,fixo,3.0,149.2,701.12,média,média,16,5.0,1.6,0,1367.65
Instalação de piso laminado,Pisos,unidade,4.0,56.21,4320.68,baixa,baixa,10,4.36,14.4,0,5401.29
Instalação de piso laminado,Pisos,m2,3.0,39.88,1113.31,baixa,baixa,17,4.09,1.6,0,1327.71
Conserto de torneira,Hidráulica,hora,1.0,85.85,120.6,alta,alta,4,4.31,18.2,1,243.31
Conserto de torneira,Hidráulica,hora,2.0,80.61,83.0,média,média,5,4.83,6.6,1,308.25
Dedetização,Dedetização,m2,2.0,46.05,61.78,alta,média,0,5.0,0.1,1,163.03
Instalação de tomada,Elétrica,hora,1.0,108.54,322.56,baixa,média,11,4.69,8.6,0,537.47
Limpeza pós-obra,Limpeza,hora,4.0,5.0,0.0,alta,alta,18,3.91,6.0,1,23.81
Instalação de piso laminado,Pisos,hora,5.0,64.75,2157.61,média,média,5,3.88,0.6,1,2756.23
Dedetização,Dedetização,m2,2.0,87.26,20.5,baixa,alta,12,4.03,1.2,1,206.63
Instalação de piso laminado,Pisos,hora,2.0,80.65,1153.2,alta,alta,2,4.73,8.7,0,1401.39
Instalação de tomada,Elétrica,fixo,2.0,130.71,130.59,baixa,baixa,15,4.91,7.0,1,480.93
Pintura de parede,Pintura,m2,3.0,6.32,121.96,baixa,alta,16,4.36,10.5,1,156.75
Instalação de ar-condicionado,Climatização,unidade,1.0,402.69,0.0,alta,média,8,3.32,2.8,0,415.98
Dedetização,Dedetização,hora,2.0,190.52,82.12,baixa,baixa,18,3.82,7.0,0,572.17
Instalação de tomada,Elétrica,fixo,2.0,50.54,3.72,baixa,alta,7,3.94,18.0,0,114.35
Conserto de telhado,Telhados,fixo,1.0,37.11,0.0,baixa,alta,16,4.62,16.8,1,45.59
Instalação de ar-condicionado,Climatização,fixo,2.0,269.87,1311.33,alta,baixa,1,4.09,12.4,0,1907.17
Conserto de torneira,Hidráulica,unidade,2.0,102.25,129.85,alta,alta,20,4.52,12.8,0,368.27
Dedetização,Dedetização,fixo,2.0,138.89,26.27,alta,média,13,3.91,12.9,0,304.11
Conserto de torneira,Hidráulica,unidade,1.0,87.13,114.99,média,alta,18,3.82,13.8,0,209.39
Dedetização,Dedetização,fixo,3.0,5.0,106.61,média,baixa,6,4.54,3.1,0,128.17
Instalação de ar-condicionado,Climatização,fixo,5.0,381.1,1041.21,alta,baixa,17,3.88,1.2,1,3361.41
Conserto de telhado,Telhados,fixo,3.0,47.68,3700.44,alta,média,1,4.56,18.4,0,3990.18
Instalação de ar-condicionado,Climatização,hora,1.0,158.79,10.13,baixa,baixa,14,4.94,15.2,0,183.52
Instalação de piso laminado,Pisos,unidade,5.0,48.26,680.7,média,alta,7,4.28,9.0,0,964.87
Conserto de telhado,Telhados,hora,1.0,46.32,3760.37,baixa,baixa,3,4.32,18.1,1,4723.62
Montagem de móveis,Marcenaria,fixo,3.0,227.64,187.29,média,baixa,4,4.89,5.9,1,912.93
Montagem de móveis,Marcenaria,hora,3.0,218.86,226.74,baixa,média,5,4.52,10.6,1,1145.92
Pintura de parede,Pintura,unidade,3.0,32.1,28.66,baixa,alta,2,4.74,4.0,1,131.0
Conserto de torneira,Hidráulica,unidade,3.0,84.35,116.6,baixa,média,7,4.54,9.3,0,449.02
Conserto de telhado,Telhados,hora,4.0,40.8,3395.13,média,média,18,3.69,18.9,1,3564.02
Pintura de parede,Pintura,fixo,1.0,5.0,69.17,alta,baixa,0,4.35,2.8,1,86.84
Pintura de parede,Pintura,unidade,3.0,46.88,72.84,alta,baixa,4,4.19,2.5,0,217.6
Montagem de móveis,Marcenaria,hora,3.0,252.16,13.57,baixa,baixa,6,4.48,12.5,1,903.13
Conserto de torneira,Hidráulica,fixo,2.0,82.94,187.72,média,alta,5,3.75,6.6,0,385.85
Jardinagem básica,Jardinagem,fixo,2.0,5.0,65.53,alta,média,15,4.55,9.1,0,82.12
Limpeza pós-obra,Limpeza,m2,3.0,57.95,0.0,baixa,média,20,4.84,6.0,0,184.35
Dedetização,Dedetização,m2,2.0,5.66,0.0,média,baixa,5,5.0,15.5,0,13.34
Montagem de móveis,Marcenaria,unidade,5.0,115.93,217.0,alta,média,15,4.75,6.4,1,913.07
Limpeza pós-obra,Limpeza,hora,3.0,53.18,84.42,média,baixa,3,5.0,5.3,1,277.02
Conserto de torneira,Hidráulica,fixo,4.0,107.24,60.35,alta,alta,13,4.45,14.8,1,570.78
Instalação de tomada,Elétrica,hora,5.0,63.73,88.44,baixa,média,1,4.19,2.3,1,451.36
Instalação de ar-condicionado,Climatização,m2,3.0,187.86,1011.37,alta,alta,20,4.47,6.4,1,1869.76
Limpeza pós-obra,Limpeza,unidade,4.0,55.04,43.11,média,média,11,4.17,7.3,1,313.41
Instalação de ar-condicionado,Climatização,m2,5.0,197.5,1937.87,baixa,média,17,4.38,3.8,0,3237.44
Montagem de móveis,Marcenaria,fixo,3.0,135.39,365.03,alta,baixa,10,4.4,8.8,0,825.98
Instalação de ar-condicionado,Climatização,hora,2.0,302.3,906.01,média,média,14,4.7,2.7,0,1527.79
Jardinagem básica,Jardinagem,fixo,5.0,131.77,0.0,média,média,14,4.56,2.5,1,724.24
Instalação de tomada,Elétrica,hora,2.0,160.51,80.41,média,alta,8,3.86,6.7,0,453.85
Instalação de piso laminado,Pisos,fixo,2.0,55.85,80.25,média,alta,6,4.17,1.5,0,202.64
Conserto de telhado,Telhados,m2,2.0,62.93,2687.42,baixa,baixa,9,3.79,22.2,1,3155.29
Pintura de parede,Pintura,m2,4.0,17.08,179.48,alta,média,10,4.64,6.4,1,298.45
Instalação de piso laminado,Pisos,hora,5.0,63.2,2802.45,alta,alta,12,4.93,8.0,1,3461.51
Instalação de ar-condicionado,Climatização,unidade,2.0,306.61,934.2,baixa,média,12,4.74,2.9,0,1626.53
Montagem de móveis,Marcenaria,m2,4.0,134.45,302.48,baixa,baixa,3,3.64,11.8,1,956.96
Conserto de telhado,Telhados,unidade,3.0,63.88,844.8,alta,média,2,3.71,20.5,1,1125.39
Conserto de telhado,Telhados,m2,3.0,60.16,4441.43,média,média,14,4.54,20.3,0,5408.75
Instalação de piso laminado,Pisos,fixo,6.0,88.2,0.0,média,baixa,7,4.75,6.9,0,557.52
Instalação de piso laminado,Pisos,hora,3.0,53.21,1071.63,média,baixa,20,4.27,9.4,1,1320.59
Montagem de móveis,Marcenaria,unidade,3.0,148.28,88.41,baixa,média,9,3.97,6.8,0,674.97
Instalação de piso laminado,Pisos,m2,2.0,70.39,1600.14,baixa,baixa,11,4.28,9.0,1,1853.84
Limpeza pós-obra,Limpeza,fixo,3.0,94.46,0.0,média,baixa,4,4.05,1.1,0,303.27
Limpeza pós-obra,Limpeza,hora,2.0,5.0,55.28,baixa,alta,10,4.98,1.1,1,78.65
Dedetização,Dedetização,hora,4.0,174.35,54.41,média,alta,14,4.85,0.9,0,810.73
Pintura de parede,Pintura,hora,3.0,5.0,71.99,média,média,20,5.0,13.0,1,95.63
Pintura de parede,Pintura,fixo,3.0,33.17,34.4,alta,média,20,4.71,12.1,0,144.59
Limpeza pós-obra,Limpeza,unidade,3.0,67.18,36.41,alta,baixa,5,3.4,8.5,1,299.4
Conserto de telhado,Telhados,m2,2.0,27.0,650.62,baixa,média,9,4.49,16.5,1,909.61
Dedetização,Dedetização,unidade,2.0,85.95,0.0,baixa,baixa,12,4.25,7.7,0,206.17
Conserto de torneira,Hidráulica,unidade,4.0,64.22,97.16,alta,alta,7,4.22,11.7,1,370.3
Jardinagem básica,Jardinagem,hora,2.0,99.71,16.08,baixa,alta,19,4.66,2.0,0,212.81
Conserto de telhado,Telhados,hora,3.0,36.78,941.13,média,baixa,8,4.32,16.3,0,1252.58
Instalação de ar-condicionado,Climatização,unidade,3.0,225.57,1459.85,alta,média,3,3.71,1.6,0,2267.68
Conserto de telhado,Telhados,hora,7.0,35.77,114.32,média,baixa,20,5.0,11.9,1,443.6
Limpeza pós-obra,Limpeza,fixo,2.0,63.9,0.0,alta,alta,14,4.58,6.0,0,134.65
Instalação de ar-condicionado,Climatização,hora,5.0,155.44,494.97,baixa,alta,1,3.89,14.1,1,1408.84
Jardinagem básica,Jardinagem,fixo,4.0,175.31,71.96,média,baixa,8,4.47,16.0,1,853.05
Conserto de torneira,Hidráulica,m2,2.0,79.87,102.18,média,média,1,5.0,0.1,1,284.9
Pintura de parede,Pintura,unidade,5.0,5.0,37.68,baixa,baixa,19,4.21,7.8,1,65.78
Instalação de piso laminado,Pisos,m2,3.0,50.08,24.0,média,alta,14,4.0,10.0,1,216.86
Montagem de móveis,Marcenaria,fixo,4.0,192.51,151.45,alta,baixa,11,4.26,9.5,1,1056.78
Pintura de parede,Pintura,fixo,3.0,84.07,0.0,baixa,alta,16,4.33,5.2,0,259.66
Conserto de telhado,Telhados,unidade,1.0,43.93,2006.24,média,baixa,19,4.23,14.1,0,2124.62
Pintura de parede,Pintura,hora,3.0,5.0,0.0,baixa,média,8,4.31,12.4,1,16.06
Dedetização,Dedetização,fixo,1.0,46.37,16.3,média,baixa,1,3.64,19.2,0,66.57
Pintura de parede,Pintura,m2,3.0,59.75,0.0,média,alta,20,4.09,4.4,1,199.6
Montagem de móveis,Marcenaria,m2,3.0,93.35,101.77,alta,média,13,4.05,5.1,1,401.83
Conserto de telhado,Telhados,unidade,3.0,42.37,2487.48,alta,média,20,4.45,10.5,0,2817.89
Jardinagem básica,Jardinagem,unidade,2.0,55.6,29.23,alta,baixa,12,4.85,14.3,1,164.47
Conserto de telhado,Telhados,m2,2.0,37.05,3273.32,baixa,alta,3,3.57,15.9,0,3353.9
Instalação de ar-condicionado,Climatização,hora,2.0,41.94,473.53,alta,média,2,4.08,4.3,1,667.79
Montagem de móveis,Marcenaria,m2,2.0,137.26,397.65,média,alta,11,4.39,4.8,1,812.58
Conserto de telhado,Telhados,m2,5.0,72.65,2071.35,média,alta,6,4.32,13.0,1,2471.38
Instalação de tomada,Elétrica,unidade,2.0,158.95,0.0,baixa,alta,8,4.92,11.5,0,387.17
Limpeza pós-obra,Limpeza,m2,4.0,5.0,0.0,alta,alta,20,3.59,5.9,0,22.81
Jardinagem básica,Jardinagem,m2,3.0,200.68,0.0,baixa,média,16,5.0,21.6,0,736.05
Conserto de telhado,Telhados,m2,5.0,27.87,2786.12,baixa,baixa,3,4.3,8.9,1,3732.92
Jardinagem básica,Jardinagem,unidade,3.0,115.78,4.82,baixa,média,17,4.41,10.5,0,385.6
Conserto de telhado,Telhados,unidade,5.0,66.03,4467.73,baixa,média,20,4.37,4.4,1,5292.73
Montagem de móveis,Marcenaria,fixo,2.0,116.33,186.48,média,baixa,2,4.63,10.0,1,424.0
Pintura de parede,Pintura,fixo,3.0,87.39,0.0,baixa,média,20,4.23,7.8,1,270.34
Pintura de parede,Pintura,m2,2.0,15.93,66.92,alta,média,16,3.75,11.9,0,102.78
Limpeza pós-obra,Limpeza,hora,2.0,51.89,108.62,baixa,alta,0,4.05,10.0,1,253.02
Instalação de ar-condicionado,Climatização,m2,2.0,192.97,0.0,baixa,alta,6,4.67,10.4,0,463.77
Montagem de móveis,Marcenaria,unidade,2.0,192.5,1.28,média,alta,19,4.62,7.5,0,479.97
Instalação de tomada,Elétrica,unidade,5.0,128.43,166.32,baixa,baixa,16,4.71,10.5,1,959.22
Instalação de piso laminado,Pisos,hora,2.0,36.99,1837.54,alta,média,0,4.71,14.5,1,2365.11
Instalação de tomada,Elétrica,unidade,4.0,180.91,21.88,alta,média,7,3.87,7.2,1,828.16
Conserto de torneira,Hidráulica,unidade,6.0,68.24,178.89,baixa,média,13,4.2,4.1,1,682.09
Conserto de torneira,Hidráulica,fixo,5.0,92.47,158.43,baixa,alta,7,4.85,15.0,1,667.56
Instalação de tomada,Elétrica,fixo,1.0,148.15,0.0,média,baixa,7,3.61,13.6,1,168.97
Instalação de tomada,Elétrica,m2,3.0,187.26,231.03,baixa,média,7,3.99,9.5,1,984.07
Instalação de piso laminado,Pisos,m2,3.0,62.94,1694.19,alta,alta,9,4.38,9.1,0,1998.24
Jardinagem básica,Jardinagem,m2,2.0,127.26,13.11,alta,baixa,10,4.99,9.2,0,268.07
Conserto de torneira,Hidráulica,fixo,2.0,104.15,94.05,média,alta,19,4.83,4.7,1,382.39
Instalação de piso laminado,Pisos,unidade,2.0,94.57,363.74,média,média,13,4.84,2.8,1,634.45
Conserto de torneira,Hidráulica,unidade,4.0,82.41,37.93,média,alta,3,4.36,5.2,0,418.39
Instalação de piso laminado,Pisos,fixo,2.0,74.62,2523.12,alta,média,13,4.49,4.3,1,2704.17
Dedetização,Dedetização,fixo,2.0,53.76,9.34,média,média,10,4.36,9.7,1,129.32
Limpeza pós-obra,Limpeza,hora,5.0,68.89,41.82,alta,baixa,0,4.47,4.1,0,495.38
Pintura de parede,Pintura,unidade,2.0,5.0,24.98,baixa,média,12,4.45,9.7,0,36.6
Limpeza pós-obra,Limpeza,m2,3.0,5.0,14.74,média,média,6,4.62,5.6,0,36.39
Pintura de parede,Pintura,unidade,6.0,10.8,0.0,média,baixa,0,3.93,11.3,0,67.21
Conserto de torneira,Hidráulica,unidade,1.0,72.98,125.98,alta,baixa,15,4.89,0.3,1,228.78
Limpeza pós-obra,Limpeza,m2,6.0,5.0,0.0,baixa,média,20,4.3,5.2,1,32.94
Dedetização,Dedetização,m2,4.0,120.75,62.51,alta,média,3,5.0,10.6,1,559.11
Limpeza pós-obra,Limpeza,fixo,3.0,28.64,0.0,média,média,8,4.27,5.8,1,85.43
Instalação de piso laminado,Pisos,fixo,4.0,81.45,0.0,baixa,baixa,8,4.81,9.5,1,346.56
Limpeza pós-obra,Limpeza,unidade,3.0,40.24,34.49,baixa,média,11,4.72,6.6,1,175.31
Conserto de torneira,Hidráulica,unidade,5.0,61.06,208.49,média,alta,18,4.93,11.0,1,560.03
Instalação de tomada,Elétrica,unidade,1.0,95.66,98.04,média,alta,16,4.21,12.3,1,225.43
Instalação de piso laminado,Pisos,m2,1.0,66.31,2510.89,média,alta,6,4.78,11.7,0,2844.88
Conserto de torneira,Hidráulica,m2,2.0,79.29,104.6,alta,alta,10,4.54,15.4,1,299.77
Dedetização,Dedetização,fixo,1.0,95.1,0.0,alta,média,17,4.55,8.6,0,100.81
Montagem de móveis,Marcenaria,hora,1.0,72.83,295.31,alta,baixa,8,4.14,3.5,0,426.73
Jardinagem básica,Jardinagem,unidade,5.0,6.9,0.0,baixa,média,10,3.99,15.4,0,38.66
Montagem de móveis,Marcenaria,fixo,5.0,193.23,353.21,baixa,média,0,4.03,9.5,0,1376.92
Jardinagem básica,Jardinagem,hora,4.0,5.0,34.53,baixa,média,7,4.49,5.6,0,59.13
Limpeza pós-obra,Limpeza,fixo,2.0,5.0,22.22,baixa,média,5,3.97,8.2,0,33.32
